instance,total_tokens_title,total_tokens_content,total_words_title,total_words_content,total_filtered_words_title,total_filtered_words_content,count_exclamations_title,proportion_exclamations_title,count_exclamations_content,proportion_exclamations_content,count_question_title,proportion_question_title,count_question_content,proportion_question_content,count_allcaps_title,proportion_allcaps_title,count_allcaps_content,proportion_allcaps_content,count_contractions_title,proportion_contractions_title,count_contractions_content,proportion_contractions_content,count_words_in_title_in_content,proportion_words_in_title_in_content,sentiment_title,starts_with_number_title,starts_with_number_content,len_longest_word_content,starts_with_5W1H_content,starts_with_5W1H_title,number_of_proper_nouns_in_content,proportion_number_proper_nouns_in_content,truth_mean,truth_median,truth_mode,label
30,12,2191,11,1933,7,1252,0,0.0,0,0.0,1,0.08333333333333333,4,0.0018256503879507074,0,0.0,23,0.01189860320744956,0,0.0,13,0.006809848088004191,108,0.08626198083067092,-0.2,0,0,16,0,1,173,0.08949818934299017,0.46666666661999995,0.3333333333,0.3333333333,0
31,12,869,12,788,9,499,0,0.0,0,0.0,0,0.0,2,0.0023014959723820483,0,0.0,8,0.01015228426395939,0,0.0,4,0.005201560468140442,47,0.09418837675350701,0.0,0,0,18,0,0,109,0.1383248730964467,0.13333333332,0.0,0.0,0
32,8,531,8,470,6,305,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.031914893617021274,0,0.0,4,0.008676789587852495,19,0.06229508196721312,-0.2,0,0,15,0,0,67,0.1425531914893617,0.2,0.0,0.0,0
33,14,421,11,357,11,247,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,5,0.014005602240896359,1,0.1,0,0.0,17,0.06882591093117409,-0.4,0,0,16,0,0,94,0.26330532212885155,0.3333333333,0.3333333333,0.3333333333,0
34,23,325,19,275,16,166,0,0.0,1,0.003076923076923077,0,0.0,0,0.0,1,0.05263157894736842,1,0.0036363636363636364,0,0.0,2,0.007874015748031496,16,0.0963855421686747,-0.35,0,0,12,0,0,23,0.08363636363636363,0.13333333332,0.0,0.0,0
35,13,742,12,686,10,401,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0029154518950437317,0,0.0,0,0.0,29,0.07231920199501247,0.4,0,0,13,0,0,27,0.03935860058309038,0.86666666664,1.0,1.0,1
36,11,324,11,288,8,182,0,0.0,1,0.0030864197530864196,0,0.0,0,0.0,0,0.0,6,0.020833333333333332,0,0.0,0,0.0,17,0.09340659340659341,-0.2,0,0,14,0,0,27,0.09375,0.39999999997999997,0.3333333333,0.0,0
37,13,371,13,341,13,245,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.008797653958944282,0,0.0,2,0.005934718100890208,16,0.0653061224489796,0.2,0,0,18,0,0,60,0.17595307917888564,0.73333333332,1.0,1.0,1
38,17,709,14,640,13,431,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.0140625,0,0.0,0,0.0,9,0.02088167053364269,0.0,0,0,21,0,0,88,0.1375,0.19999999997999998,0.0,0.0,0
39,10,811,9,727,6,444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.005502063273727648,0,0.0,0,0.0,10,0.02252252252252252,0.0,0,0,13,0,0,77,0.10591471801925723,0.7333333333,0.6666666666,0.6666666666,1
40,14,192,14,167,12,114,0,0.0,0,0.0,0,0.0,1,0.005208333333333333,1,0.07142857142857142,4,0.023952095808383235,0,0.0,4,0.025974025974025976,13,0.11403508771929824,0.0,0,0,17,0,0,30,0.17964071856287425,0.46666666664,0.3333333333,0.3333333333,0
41,19,60,19,53,12,39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.018867924528301886,0,0.0,0,0.0,8,0.20512820512820512,0.0,1,1,15,0,0,17,0.32075471698113206,0.19999999997999998,0.0,0.0,0
42,11,698,11,583,11,410,0,0.0,0,0.0,0,0.0,2,0.0028653295128939827,0,0.0,27,0.04631217838765009,0,0.0,1,0.0017421602787456446,39,0.0951219512195122,0.6333333333333333,0,0,14,0,0,132,0.22641509433962265,0.26666666664,0.0,0.0,0
43,20,536,18,475,17,320,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,17,0.035789473684210524,0,0.0,0,0.0,15,0.046875,-0.125,0,0,15,0,0,78,0.16421052631578947,0.06666666666,0.0,0.0,0
44,17,434,16,400,13,289,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,0.0525,0,0.0,0,0.0,23,0.07958477508650519,0.0,0,0,16,0,0,115,0.2875,0.86666666666,1.0,1.0,1
45,13,1252,12,1141,10,685,0,0.0,0,0.0,0,0.0,1,0.0007987220447284345,0,0.0,5,0.0043821209465381246,0,0.0,0,0.0,8,0.01167883211678832,-0.4,0,0,15,0,0,135,0.11831726555652936,0.13333333332,0.0,0.0,0
46,20,220,19,197,12,136,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.08121827411167512,0,0.0,0,0.0,17,0.125,0.0,0,0,16,0,0,65,0.3299492385786802,0.66666666664,0.6666666666,0.6666666666,1
47,12,477,12,430,9,274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.004651162790697674,0,0.0,0,0.0,23,0.08394160583941605,-0.4,0,0,14,0,0,79,0.18372093023255814,0.26666666666,0.0,0.0,0
48,14,1389,10,1209,9,876,0,0.0,9,0.0064794816414686825,1,0.07142857142857142,18,0.012958963282937365,0,0.0,13,0.010752688172043012,0,0.0,1,0.0009041591320072332,18,0.02054794520547945,-0.5,0,0,19,0,0,359,0.2969396195202647,0.3333333333,0.3333333333,0.3333333333,0
49,16,400,15,356,15,246,0,0.0,0,0.0,0,0.0,1,0.0025,1,0.06666666666666667,13,0.03651685393258427,0,0.0,2,0.005797101449275362,11,0.044715447154471545,0.55,1,1,13,0,0,69,0.19382022471910113,0.66666666664,0.6666666666,1.0,1
50,16,986,16,881,10,591,0,0.0,0,0.0,0,0.0,9,0.009127789046653144,1,0.0625,29,0.032917139614074914,0,0.0,8,0.009378663540445486,33,0.05583756345177665,-0.6,0,0,25,0,0,162,0.18388195232690124,0.8,1.0,1.0,1
51,7,68,7,58,6,36,0,0.0,0,0.0,0,0.0,0,0.0,1,0.14285714285714285,2,0.034482758620689655,0,0.0,0,0.0,2,0.05555555555555555,0.0,0,0,14,0,0,9,0.15517241379310345,0.19999999997999998,0.0,0.0,0
52,10,152,10,141,9,93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.02127659574468085,0,0.0,0,0.0,9,0.0967741935483871,0.0,0,0,13,0,0,18,0.1276595744680851,0.13333333332,0.0,0.0,0
53,11,1055,10,961,10,628,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.018730489073881373,0,0.0,0,0.0,8,0.012738853503184714,-0.325,0,0,16,0,0,146,0.15192507804370448,0.06666666666,0.0,0.0,0
54,13,1355,13,1231,12,780,0,0.0,0,0.0,0,0.0,2,0.0014760147601476014,1,0.07692307692307693,38,0.030869212022745736,0,0.0,0,0.0,107,0.1371794871794872,0.0,0,0,18,0,0,211,0.17140536149471974,0.06666666666,0.0,0.0,0
55,11,582,9,548,8,326,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,32,0.058394160583941604,0,0.0,0,0.0,21,0.06441717791411043,0.0,0,0,14,0,0,89,0.1624087591240876,0.26666666664,0.3333333333,0.3333333333,0
56,13,576,11,507,10,289,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,14,0.027613412228796843,0,0.0,18,0.037037037037037035,37,0.12802768166089964,0.0,0,0,13,0,0,74,0.14595660749506903,0.13333333332,0.0,0.0,0
57,13,368,13,336,12,214,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.005952380952380952,0,0.0,0,0.0,13,0.06074766355140187,0.0,0,0,18,0,0,45,0.13392857142857142,0.2,0.0,0.0,0
58,9,235,9,198,9,130,0,0.0,1,0.00425531914893617,0,0.0,0,0.0,0,0.0,1,0.005050505050505051,0,0.0,3,0.015463917525773196,9,0.06923076923076923,0.0,0,0,11,0,0,24,0.12121212121212122,0.06666666666,0.0,0.0,0
59,14,356,13,325,13,208,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.006153846153846154,0,0.0,0,0.0,4,0.019230769230769232,0.375,0,0,16,0,0,14,0.043076923076923075,0.06666666666,0.0,0.0,0
60,9,517,9,447,6,261,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.015659955257270694,0,0.0,3,0.006787330316742082,14,0.05363984674329502,0.0,0,0,14,1,0,43,0.09619686800894854,0.26666666664,0.3333333333,0.3333333333,0
61,6,311,6,275,6,168,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.02181818181818182,0,0.0,0,0.0,20,0.11904761904761904,0.0,0,0,13,0,0,52,0.1890909090909091,0.06666666666,0.0,0.0,0
62,13,337,12,313,8,186,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.006389776357827476,0,0.0,0,0.0,18,0.0967741935483871,0.0,0,0,14,0,0,29,0.0926517571884984,0.46666666664,0.3333333333,0.3333333333,0
63,14,112,14,102,10,65,0,0.0,1,0.008928571428571428,0,0.0,0,0.0,0,0.0,2,0.0196078431372549,0,0.0,0,0.0,20,0.3076923076923077,0.0,0,0,14,0,0,23,0.22549019607843138,0.19999999997999998,0.0,0.0,0
64,9,481,9,424,7,270,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.009433962264150943,0,0.0,0,0.0,20,0.07407407407407407,0.0,0,0,15,0,0,65,0.15330188679245282,0.5333333333,0.6666666666,0.6666666666,1
65,11,1043,10,943,9,578,0,0.0,1,0.0009587727708533077,0,0.0,0,0.0,0,0.0,9,0.009544008483563097,0,0.0,0,0.0,24,0.04152249134948097,0.0,0,0,17,0,0,142,0.15058324496288442,0.3333333333,0.3333333333,0.0,0
66,10,90,10,85,7,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.07547169811320754,0.0,0,0,15,0,0,10,0.11764705882352941,0.19999999997999998,0.3333333333,0.3333333333,0
67,10,412,10,376,8,237,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,12,0.031914893617021274,0,0.0,1,0.002688172043010753,20,0.08438818565400844,0.0,0,0,14,0,0,65,0.17287234042553193,0.13333333332,0.0,0.0,0
68,15,170,14,157,12,114,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.10191082802547771,0,0.0,0,0.0,12,0.10526315789473684,0.0,0,0,16,0,0,72,0.4585987261146497,0.66666666666,1.0,1.0,1
69,16,610,14,548,9,328,0,0.0,0,0.0,0,0.0,1,0.001639344262295082,2,0.14285714285714285,18,0.032846715328467155,1,0.08333333333333333,0,0.0,34,0.10365853658536585,0.0,0,0,14,0,0,72,0.13138686131386862,0.06666666666,0.0,0.0,0
70,16,378,16,330,10,218,0,0.0,0,0.0,0,0.0,1,0.0026455026455026454,1,0.0625,1,0.0030303030303030303,1,0.07142857142857142,3,0.009345794392523364,21,0.0963302752293578,0.13636363636363635,0,0,20,0,0,59,0.1787878787878788,0.39999999995999996,0.3333333333,0.3333333333,0
71,15,685,14,633,14,334,1,0.06666666666666667,0,0.0,0,0.0,3,0.004379562043795621,0,0.0,2,0.00315955766192733,0,0.0,0,0.0,19,0.05688622754491018,-0.375,0,0,15,0,0,12,0.018957345971563982,0.7999999999599999,0.6666666666,0.6666666666,1
72,15,342,14,301,8,203,0,0.0,0,0.0,0,0.0,2,0.005847953216374269,0,0.0,8,0.026578073089700997,0,0.0,5,0.017123287671232876,2,0.009852216748768473,0.0,0,0,16,0,0,23,0.07641196013289037,0.73333333332,1.0,1.0,1
73,11,675,11,627,11,374,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,10,0.01594896331738437,0,0.0,0,0.0,9,0.02406417112299465,0.0,0,0,14,0,0,98,0.15629984051036683,0.39999999997999997,0.3333333333,0.0,0
74,9,106,9,96,8,56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.010416666666666666,0,0.0,0,0.0,0,0.0,-0.14583333333333334,0,0,13,0,0,5,0.052083333333333336,0.06666666666,0.0,0.0,0
75,11,774,9,690,6,474,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,16,0.02318840579710145,0,0.0,0,0.0,11,0.023206751054852322,0.4,0,0,13,0,1,89,0.1289855072463768,0.46666666664,0.3333333333,0.3333333333,0
76,9,89,9,85,8,54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.05555555555555555,-0.3333333333333333,0,0,17,0,0,7,0.08235294117647059,0.46666666664,0.3333333333,0.3333333333,0
77,8,1791,8,1536,8,874,0,0.0,3,0.0016750418760469012,0,0.0,1,0.0005583472920156337,1,0.125,24,0.015625,0,0.0,33,0.02223719676549865,1,0.0011441647597254005,-0.6999999999999998,0,0,16,0,0,101,0.06575520833333333,0.66666666664,0.6666666666,0.6666666666,1
78,8,1019,6,920,5,562,0,0.0,0,0.0,1,0.125,0,0.0,0,0.0,2,0.002173913043478261,0,0.0,0,0.0,21,0.037366548042704624,0.25,0,0,14,0,0,96,0.10434782608695652,0.86666666664,1.0,1.0,1
79,9,555,8,483,8,382,0,0.0,3,0.005405405405405406,0,0.0,1,0.0018018018018018018,0,0.0,10,0.020703933747412008,0,0.0,6,0.013186813186813187,10,0.02617801047120419,0.5,0,0,20,0,0,212,0.4389233954451346,0.53333333332,0.3333333333,0.3333333333,0
80,15,1262,15,1161,9,733,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.013781223083548665,0,0.0,0,0.0,32,0.04365620736698499,0.5,0,0,17,0,0,105,0.09043927648578812,0.26666666664,0.0,0.0,0
81,14,330,14,292,10,166,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.017123287671232876,0,0.0,2,0.006920415224913495,11,0.06626506024096386,0.0,0,0,12,0,0,27,0.09246575342465753,0.39999999995999996,0.3333333333,0.3333333333,0
82,14,1551,12,1374,9,882,0,0.0,0,0.0,0,0.0,2,0.0012894906511927789,0,0.0,27,0.019650655021834062,0,0.0,5,0.003714710252600297,36,0.04081632653061224,0.05000000000000002,0,0,16,0,0,283,0.2059679767103348,0.06666666666,0.0,0.0,0
83,12,526,11,473,10,295,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.016913319238900635,0,0.0,0,0.0,18,0.061016949152542375,0.0,0,0,17,0,0,57,0.12050739957716702,0.33333333332,0.3333333333,0.3333333333,0
84,13,245,13,217,13,131,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.03225806451612903,0,0.0,0,0.0,5,0.03816793893129771,0.0,0,0,13,0,0,38,0.17511520737327188,0.06666666666,0.0,0.0,0
85,7,696,6,636,6,471,0,0.0,1,0.0014367816091954023,0,0.0,0,0.0,1,0.16666666666666666,4,0.006289308176100629,0,0.0,3,0.0048,34,0.07218683651804671,0.16666666666666666,0,0,14,0,0,174,0.27358490566037735,0.53333333332,0.3333333333,0.3333333333,0
86,11,1258,10,1152,9,746,0,0.0,0,0.0,0,0.0,1,0.000794912559618442,0,0.0,23,0.019965277777777776,0,0.0,6,0.0055147058823529415,35,0.04691689008042895,-0.5,0,0,17,0,0,175,0.1519097222222222,0.13333333332,0.0,0.0,0
87,11,389,11,353,9,214,0,0.0,3,0.007712082262210797,0,0.0,0,0.0,0,0.0,10,0.028328611898016998,0,0.0,0,0.0,16,0.07476635514018691,0.0,0,0,13,0,0,52,0.14730878186968838,0.19999999997999998,0.3333333333,0.3333333333,0
88,16,3207,14,2876,12,1722,0,0.0,7,0.002182725288431556,0,0.0,15,0.004677268475210477,0,0.0,83,0.028859527121001392,0,0.0,0,0.0,177,0.10278745644599303,0.0,0,0,17,0,0,430,0.14951321279554938,0.33333333332,0.3333333333,0.3333333333,0
89,8,79,8,72,6,38,0,0.0,0,0.0,0,0.0,1,0.012658227848101266,0,0.0,1,0.013888888888888888,0,0.0,0,0.0,2,0.05263157894736842,0.0,0,0,12,0,0,12,0.16666666666666666,0.79999999998,1.0,1.0,1
90,14,83,13,76,12,46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.08695652173913043,-0.1,0,0,13,0,0,9,0.11842105263157894,0.06666666666,0.0,0.0,0
91,8,173,8,140,8,96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.014285714285714285,0,0.0,1,0.007194244604316547,7,0.07291666666666667,0.0,0,0,14,0,0,16,0.11428571428571428,0.3333333333,0.3333333333,0.3333333333,0
92,13,86,13,65,13,47,0,0.0,2,0.023255813953488372,0,0.0,3,0.03488372093023256,0,0.0,2,0.03076923076923077,0,0.0,0,0.0,2,0.0425531914893617,0.16818181818181818,0,0,10,0,0,15,0.23076923076923078,0.86666666666,1.0,1.0,1
93,8,307,8,278,8,183,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.007194244604316547,0,0.0,1,0.003745318352059925,7,0.03825136612021858,0.0,0,0,17,0,0,32,0.11510791366906475,0.06666666666,0.0,0.0,0
94,13,19,11,19,9,13,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,1,0.05263157894736842,0,0.0,0,0.0,2,0.15384615384615385,0.1,0,0,9,0,0,3,0.15789473684210525,0.13333333332,0.0,0.0,0
95,14,621,13,545,10,334,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07692307692307693,22,0.04036697247706422,0,0.0,5,0.009345794392523364,16,0.04790419161676647,-0.5,0,0,17,0,0,83,0.15229357798165138,0.3333333333,0.3333333333,0.3333333333,0
96,9,14230,8,12509,7,7557,0,0.0,10,0.0007027406886858749,0,0.0,38,0.002670414617006325,2,0.25,145,0.011591654009113439,0,0.0,137,0.011130067430335526,72,0.009527590313616514,0.0,0,0,21,0,0,1976,0.15796626428971142,0.46666666664,0.3333333333,0.3333333333,0
97,19,511,17,467,17,274,0,0.0,0,0.0,0,0.0,0,0.0,3,0.17647058823529413,12,0.02569593147751606,0,0.0,8,0.017738359201773836,28,0.10218978102189781,0.0,0,0,15,0,0,63,0.1349036402569593,0.06666666666,0.0,0.0,0
98,15,1368,14,1163,13,749,0,0.0,2,0.0014619883040935672,0,0.0,1,0.0007309941520467836,0,0.0,33,0.028374892519346516,0,0.0,3,0.0026109660574412533,54,0.07209612817089453,0.14545454545454545,0,0,17,0,0,311,0.26741186586414445,0.3333333333,0.3333333333,0.3333333333,0
99,12,514,11,469,11,303,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.008528784648187633,0,0.0,1,0.002242152466367713,20,0.066006600660066,0.0,0,0,17,0,0,85,0.1812366737739872,0.46666666664,0.3333333333,0.3333333333,0
100,23,2034,20,1793,16,1089,0,0.0,2,0.0009832841691248771,0,0.0,6,0.0029498525073746312,1,0.05,41,0.02286670384829894,0,0.0,1,0.0006325110689437065,143,0.13131313131313133,0.2,0,0,17,0,0,256,0.14277746793084217,0.26666666664,0.3333333333,0.3333333333,0
101,9,14,8,12,7,10,0,0.0,0,0.0,1,0.1111111111111111,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,5,0.5,0.0,0,0,12,0,0,4,0.3333333333333333,0.5333333333,0.6666666666,0.6666666666,1
102,25,337,23,291,17,185,1,0.04,0,0.0,0,0.0,4,0.011869436201780416,2,0.08695652173913043,3,0.010309278350515464,1,0.043478260869565216,5,0.017605633802816902,12,0.06486486486486487,0.125,0,0,13,0,0,17,0.058419243986254296,0.53333333332,0.6666666666,1.0,1
